Title,Author,Genre,Price,Quantity
The Great Gatsby,F. Scott Fitzgerald,Fiction,10.99,53
To Kill a Mockingbird,Harper Lee,Fiction,12.50,48
1984,George Orwell,Dystopian,9.99,20
A Brief History of Time,Stephen Hawking,Science,15.00,77
The Hobbit,J.R.R. Tolkien,Fantasy,14.95,31
Pride and Prejudice,Jane Austen,Romance,8.99,60
The Catcher in the Rye,J.D. Salinger,Fiction,11.25,52
The Alchemist,Paulo Coelho,Adventure,13.50,59
Brave New World,Aldous Huxley,Dystopian,12.00,36
Sapiens,Yuval Noah Harari,History,18.99,35
Thinking Fast and Slow,Daniel Kahneman,Psychology,16.50,40
Educated,Tara Westover,Biography,14.00,33
Becoming,Michelle Obama,Biography,17.95,32
Dune,Frank Herbert,Sci-Fi,15.99,60
Neuromancer,William Gibson,Sci-Fi,10.50,36
The Silent Patient,Alex Michaelides,Thriller,12.99,47
Gone Girl,Gillian Flynn,Thriller,11.99,67
The Da Vinci Code,Dan Brown,Mystery,9.50,42
Sherlock Holmes,Arthur Conan Doyle,Mystery,14.25,44
Atomic Habits,James Clear,Self-Help,16.00,70
