Date,Title,Quantity Sold,Total Revenue
2026-09-01,The Catcher in the Rye,1,11.25
2026-09-01,Dune,2,31.98
2026-09-01,Pride and Prejudice,3,26.97
2026-09-02,The Hobbit,5,74.75
2026-09-02,The Da Vinci Code,2,19.00
2026-09-02,1984,5,49.95
2026-09-02,The Great Gatsby,3,32.97
2026-09-02,Sherlock Holmes,3,42.75
2026-09-03,The Hobbit,1,14.95
2026-09-03,Becoming,1,17.95
2026-09-04,The Catcher in the Rye,1,11.25
2026-09-04,Sherlock Holmes,3,42.75
2026-09-04,Gone Girl,3,35.97
2026-09-04,Sherlock Holmes,4,57.00
2026-09-04,A Brief History of Time,4,60.00
2026-09-04,Sherlock Holmes,4,57.00
2026-09-04,1984,3,29.97
2026-09-05,The Great Gatsby,4,43.96
2026-09-05,Atomic Habits,2,32.00
2026-09-05,Educated,2,28.00
